Show,EpId,ClipId,Start,Stop,is_stutter,stutter_ratio,calculated_raters
HeStutters,0,0,31900320,31948320,0,0.0,3
HeStutters,0,1,31977120,32025120,0,0.0,3
HeStutters,0,2,34809760,34857760,0,0.0,3
HeStutters,0,3,35200640,35248640,0,0.3333333333333333,3
HeStutters,0,4,35721920,35769920,0,0.0,3
HeStutters,0,5,36435040,36483040,0,0.3333333333333333,3
HeStutters,0,6,37251200,37299200,0,0.0,3
HeStutters,0,7,37784640,37832640,0,0.0,3
HeStutters,0,8,37963520,38011520,0,0.0,3
HeStutters,0,9,41417440,41465440,0,0.0,3
HeStutters,0,10,41861760,41909760,0,0.0,3
HeStutters,0,11,42928800,42976800,0,0.0,3
HeStutters,0,12,43139360,43187360,0,0.0,3
HeStutters,0,13,46154240,46202240,0,0.3333333333333333,3
HeStutters,0,14,49133440,49181440,0,0.3333333333333333,3
HeStutters,0,15,49411840,49459840,0,0.0,3
HeStutters,0,16,51492320,51540320,0,0.0,3
HeStutters,0,17,6970880,7018880,0,0.0,3
HeStutters,0,18,8215200,8263200,0,0.3333333333333333,3
HeStutters,0,19,9985280,10033280,0,0.3333333333333333,3
HeStutters,0,20,11197600,11245600,0,0.0,3
HeStutters,0,21,12275840,12323840,0,0.0,3
HeStutters,0,22,12315840,12363840,0,0.0,3
HeStutters,0,23,12567200,12615200,0,0.0,3
HeStutters,0,24,15001760,15049760,0,0.0,3
HeStutters,0,25,16317280,16365280,0,0.3333333333333333,3
HeStutters,0,26,3562240,3610240,0,0.0,3
HeStutters,0,27,18732320,18780320,1,1.0,5
HeStutters,0,28,18902240,18950240,0,0.3333333333333333,3
HeStutters,0,29,19004000,19052000,0,0.0,3
HeStutters,0,30,19927520,19975520,0,0.0,3
HeStutters,0,31,21092480,21140480,0,0.3333333333333333,3
HeStutters,0,32,21147520,21195520,0,0.0,3
HeStutters,0,33,25293440,25341440,1,0.75,4
HeStutters,0,34,25822720,25870720,0,0.0,3
HeStutters,0,35,26746400,26794400,0,0.0,3
HeStutters,0,36,27774880,27822880,0,0.0,3
HeStutters,0,37,27813440,27861440,0,0.3333333333333333,3
HeStutters,0,38,29565600,29613600,0,0.3333333333333333,3
HeStutters,0,39,30011200,30059200,0,0.3333333333333333,3
HeStutters,1,0,2152480,2200480,1,1.0,3
HeStutters,1,1,27906400,27954400,0,0.3333333333333333,3
HeStutters,1,2,28160960,28208960,0,0.3333333333333333,3
HeStutters,1,3,28193760,28241760,0,0.3333333333333333,3
HeStutters,1,4,28351360,28399360,0,0.0,3
HeStutters,1,5,28390400,28438400,1,1.0,3
HeStutters,1,6,28443200,28491200,0,0.3333333333333333,3
HeStutters,1,7,28506080,28554080,1,1.0,3
HeStutters,1,8,28539840,28587840,1,0.6666666666666666,3
HeStutters,1,9,29043360,29091360,0,0.3333333333333333,3
HeStutters,1,10,29077440,29125440,1,1.0,3
HeStutters,1,11,29396960,29444960,1,1.0,3
HeStutters,1,12,29445280,29493280,1,0.6666666666666666,3
HeStutters,1,13,29497920,29545920,1,0.6666666666666666,3
HeStutters,1,14,29571040,29619040,1,1.0,3
HeStutters,1,15,30017440,30065440,1,1.0,4
HeStutters,1,16,30052800,30100800,0,0.3333333333333333,3
HeStutters,1,17,5026880,5074880,1,1.0,3
HeStutters,1,18,5063040,5111040,1,0.75,4
HeStutters,1,19,30230560,30278560,0,0.0,3
HeStutters,1,20,30284320,30332320,1,1.0,4
HeStutters,1,22,30745440,30793440,1,0.5,4
HeStutters,1,23,30771360,30819360,0,0.3333333333333333,3
HeStutters,1,24,30819840,30867840,1,0.6666666666666666,3
HeStutters,1,26,30961440,31009440,0,0.3333333333333333,3
HeStutters,1,27,31099040,31147040,1,1.0,4
HeStutters,1,28,31132480,31180480,1,0.5,4
HeStutters,1,29,31224160,31272160,1,0.6666666666666666,3
HeStutters,1,30,31286560,31334560,0,0.3333333333333333,3
HeStutters,1,31,31628960,31676960,1,0.6666666666666666,3
HeStutters,1,32,31661920,31709920,1,1.0,3
HeStutters,1,33,31802080,31850080,1,1.0,4
HeStutters,1,34,31838240,31886240,1,0.6666666666666666,3
HeStutters,1,35,31881600,31929600,1,1.0,4
HeStutters,1,36,31917440,31965440,0,0.3333333333333333,3
HeStutters,1,37,5095680,5143680,1,1.0,5
HeStutters,1,38,31963680,32011680,0,0.3333333333333333,3
HeStutters,1,39,32034720,32082720,1,0.6666666666666666,3
HeStutters,1,40,32086560,32134560,1,1.0,3
HeStutters,1,41,32346240,32394240,1,0.75,4
HeStutters,1,42,32392000,32440000,1,1.0,6
HeStutters,1,43,32695840,32743840,0,0.3333333333333333,3
HeStutters,1,44,32728480,32776480,0,0.3333333333333333,3
HeStutters,1,45,32800640,32848640,1,1.0,3
HeStutters,1,46,32841920,32889920,1,0.8,5
HeStutters,1,47,33042240,33090240,0,0.3333333333333333,3
HeStutters,1,48,33092160,33140160,1,1.0,3
HeStutters,1,49,33136160,33184160,1,1.0,4
HeStutters,1,50,33175200,33223200,1,0.75,4
HeStutters,1,51,33325280,33373280,1,1.0,4
HeStutters,1,52,33372160,33420160,0,0.0,3
